Geslacht;Perioden;Overledenen (aantal);Overledenen, relatief (per 1 000 inwoners);Overledenen gestandaardiseerd (per 1 000 inwoners);Zuigelingensterfte (aantal);Zuigelingensterfte, relatief (per 1 000 levend geborenen);Overledenen jonger dan 4 weken (aantal);Overledenen jonger dan 4 weken, relatief (per 1 000 levend geborenen);Perinatale sterfte (24+) (aantal);Perinatale sterfte (24+), relatief (per 1 000 geborenen);Perinatale sterfte (28+) (aantal);Perinatale sterfte (28+), relatief (per 1 000 geborenen);Levensverwachting bij geboorte (jaar);Gemiddelde leeftijd bij overlijden  (jaar)
Totaal mannen en vrouwen;1950;75929;     7.5;    13.2;6126;    26.7;       .;       .;;;8004;    34.2;    71.4;    61.2
Totaal mannen en vrouwen;1960;87825;     7.6;    11.6;4286;    17.9;       .;       .;;;6460;    26.6;    73.3;    66.1
Totaal mannen en vrouwen;1970;109619;     8.4;    11.3;3045;    12.7;       .;       .;;;4502;    18.6;    73.6;    68.5
Totaal mannen en vrouwen;1980;114279;     8.1;     9.4;1557;     8.6;       .;       .;;;2017;    11.1;    75.8;    71.4
Totaal mannen en vrouwen;1990;128824;     8.6;     8.6;1397;     7.1;       .;       .;;;1915;     9.6;    77.0;    73.7
Totaal mannen en vrouwen;2000;140527;     8.8;     8.0;1059;     5.1;808;     3.9;1882;     9.1;1629;     7.8;    78.1;    75.2
Totaal mannen en vrouwen;2010;136058;     8.2;     6.4;695;     3.8;509;     2.8;1028;     5.7;870;     4.8;    80.8;    76.9
Totaal mannen en vrouwen;2015;147134;     8.7;     6.1;561;     3.3;420;     2.5;795;     4.6;677;     4.0;    81.5;    78.1
Totaal mannen en vrouwen;2020;168678;     9.7;     6.2;648;     3.8;487;     2.9;849;     5.0;733;     4.3;    81.4;    78.9
Totaal mannen en vrouwen;2023*;169521;     9.5;     5.9;598;     3.6;450;     2.7;821;     5.0;701;     4.3;    81.8;    78.9
